pcode_ts,pcode_st,name_st,name_ts,candidate_name,party_name,votes
MMR008012,MMR111,Bago,Nattalin,U Ye Htut Oo,Union Solidarity And Development Party,57455
MMR008012,MMR111,Bago,Nattalin,Daw Aye Myint,National Unity Party (NUP),26445
MMR008010,MMR111,Bago,Okpho,Nan Khyu Than Win,National Democratic Force,11368
MMR008010,MMR111,Bago,Okpho,U Tin Htwe,Union Solidarity And Development Party,36970
MMR008010,MMR111,Bago,Okpho,U Tin Hla,National Unity Party (NUP),12936
MMR008003,MMR111,Bago,Padaung,Daw San San Maw,Union Of Myanmar Federation Of National Politics,16397
MMR008003,MMR111,Bago,Padaung,U Khin Win,Union Solidarity And Development Party,51116
MMR008003,MMR111,Bago,Padaung,U Nyunt Win,National Unity Party (NUP),13654
MMR008002,MMR111,Bago,Paukkhaung,Daw Aye Aye Win (A) Ma Su,Union Of Myanmar Federation Of National Politics,8212
MMR008002,MMR111,Bago,Paukkhaung,U Aye Han,Union Solidarity And Development Party,25742
MMR008002,MMR111,Bago,Paukkhaung,U Tin Win,National Unity Party (NUP),20981
MMR008004,MMR111,Bago,Paungde,U Nay Win Aung,Union Of Myanmar Federation Of National Politics,13761
MMR008004,MMR111,Bago,Paungde,U Aung Myint Thein,Union Solidarity And Development Party,41869
MMR008004,MMR111,Bago,Paungde,U Tin Hlaing,National Unity Party (NUP),17676
MMR008001,MMR111,Bago,Pyay,U Aung Naing Oo,Union Of Myanmar Federation Of National Politics,21985
MMR008001,MMR111,Bago,Pyay,U Win Myint,Union Solidarity And Development Party,60405
MMR008001,MMR111,Bago,Pyay,U Thar Htoo,National Unity Party (NUP),28086
MMR008006,MMR111,Bago,Shwedaung,U Soe Than,Union Of Myanmar Federation Of National Politics,17943
MMR008006,MMR111,Bago,Shwedaung,Dr. Daw Aye Myint,Union Solidarity And Development Party,34980
MMR008006,MMR111,Bago,Shwedaung,U Myint Soe,National Unity Party (NUP),10927
MMR008007,MMR111,Bago,Thayarwady,U Maung Maung (A) U Khin Maung Win,Union Solidarity And Development Party,42471
MMR008007,MMR111,Bago,Thayarwady,U San Thwin,National Unity Party (NUP),26082
MMR008005,MMR111,Bago,Thegon,U Zaw Zaw Latt (A) U Khin Maung Chin,Union Of Myanmar Federation Of National Politics,18580
MMR008005,MMR111,Bago,Thegon,U Soe Aung,Union Solidarity And Development Party,31504
MMR008005,MMR111,Bago,Thegon,U Win Myint,National Unity Party (NUP),15184
MMR008011,MMR111,Bago,Zigon,U Khin Maung Thein,Democratic Party (Myanmar),9305
MMR008011,MMR111,Bago,Zigon,U Khin Maung Myint,Union Solidarity And Development Party,22347
MMR008011,MMR111,Bago,Zigon,U Chit Tun,National Unity Party (NUP),6420
MMR004001,MMR004,Chin,Falam,U Saing Lang Kyeu,Union Solidarity And Development Party,7122
MMR004001,MMR004,Chin,Falam,U San Tan,National Unity Party (NUP),1015
MMR004001,MMR004,Chin,Falam,U Khun Lain,Chin Progressive Party,8975
MMR004002,MMR004,Chin,Hakha,U Tialhnin,Union Solidarity And Development Party,4807
MMR004002,MMR004,Chin,Hakha,U Ngun Mao,Chin National Party,10400
MMR004002,MMR004,Chin,Hakha,U Na Lwei,National Unity Party (NUP),1501
MMR004003,MMR004,Chin,Thantlang,U Lian Til,National Unity Party (NUP),1476
MMR004003,MMR004,Chin,Thantlang,Daw Zada Lan,Chin National Party,12075
MMR004003,MMR004,Chin,Thantlang,U Ngun Hram,Union Solidarity And Development Party,8295
MMR004008,MMR004,Chin,Kanpetlet,Thura Aung Ko,Union Solidarity And Development Party,3288
MMR004008,MMR004,Chin,Kanpetlet,U Mana Htang(A) U Kyaw Win,National Unity Party (NUP),1130
MMR004008,MMR004,Chin,Kanpetlet,U Lein Kee,Chin National Party,1274
MMR004008,MMR004,Chin,Kanpetlet,U Khin Maung Yin,Chin Progressive Party,2360
MMR004007,MMR004,Chin,Matupi,Dr.Ro Oke,Union Solidarity And Development Party,8436
MMR004007,MMR004,Chin,Matupi,U Lian Ce,Chin Progressive Party,7910
MMR004007,MMR004,Chin,Matupi,U Shwe Htang,National Democratic Force,6198
MMR004006,MMR004,Chin,Mindat,U Htan Lein,Union Solidarity And Development Party,6877
MMR004006,MMR004,Chin,Mindat,U Htan Mar,Union Of Myanmar Federation Of National Politics,1056
MMR004006,MMR004,Chin,Mindat,U Lein Hone,National Unity Party (NUP),4074
MMR004006,MMR004,Chin,Mindat,U Phwe Aa,Chin National Party,2029
MMR004006,MMR004,Chin,Mindat,U Shing Thun,Chin Progressive Party,2420
MMR004009,MMR004,Chin,Paletwa,U Sein Thar Aung,Mro Or Khami National Solidarity Organization (MKNSO),4292
MMR004009,MMR004,Chin,Paletwa,U Pyi Yoe,Union Solidarity And Development Party,6129
MMR004009,MMR004,Chin,Paletwa,U Htaunt Swe,National Unity Party (NUP),2345
MMR004009,MMR004,Chin,Paletwa,U Paik Lin,Chin Progressive Party,12629
MMR004009,MMR004,Chin,Paletwa,U Van Nae,United Democracy Party,5644
MMR004009,MMR004,Chin,Paletwa,U Kyaw Tun,National Democratic Force,4650
MMR004004,MMR004,Chin,Tedim,U Pun Kham Inn,Union Solidarity And Development Party,12446
